'Question ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Rationale
ac472881,"In the given equation, and are constants, and . If the equation has infinitely many solutions, what is the value of ?",,,,,403,"The correct answer is 403. For a linear equation in one variable to have infinitely many solutions, the coefficients of the variable must be equal on both sides of the equation and the constant terms must also be equal on both sides of the equation. The given equation can be rewritten as , or . Applying the distributive property to the right-hand side of this equation yields . For this equation to have infinitely many solutions, the coefficients of must be equal, so it follows that . Additionally, the constant terms must be equal, which means . Substituting for in this equation yields , or . Adding to both sides of this equation yields . Adding to both sides of this equation yields . Multiplying both sides of this equation by yields . Therefore, if the equation has infinitely many solutions, the value of is 403."
3f5a3602,"What system of linear equations is represented by the lines shown?","System A","System B","System C","System D",D,"Choice D is correct. A line in the xy-plane that passes through the points and has slope , where , and can be defined by an equation of the form . One of the lines shown in the graph passes through the points and . Substituting for , for , for , and for in the equation yields , or . Substituting for , for and for in the equation yields , which is equivalent to . Adding to both sides of this equation yields . Multiplying both sides of this equation by yields . Therefore, an equation of this line is . Similarly, the other line shown in the graph passes through the points and . Substituting for , for , for , and for in the equation yields , or . Substituting for , for , and for in the equation yields , which is equivalent to . Adding to both sides of this equation yields . Multiplying both sides of this equation by yields . Therefore, an equation of this line is . So, the system of linear equations represented by the lines shown is and ."
3d1070c9,"The function is defined by . What is the value of when ?","Value A","Value B","Value C","Value D",C,"Choice C is correct. It's given that the function is defined by . Substituting for in this equation yields , which is equivalent to , or . Therefore, the value of is when . Choice A is incorrect. This is the value of , not . Choice B is incorrect. This is the value of , not . Choice D is incorrect. This is the value of , not ."
002dba45,"Line is defined by . Line is perpendicular to line in the xy-plane. What is the slope of line ?",,,,,".1764, .1765, 3/17","The correct answer is 3/17. It's given that line is perpendicular to line in the xy-plane. This means that the slope of line is the negative reciprocal of the slope of line . The equation of line , , is written in slope-intercept form , where is the slope of the line and is the y-coordinate of the y-intercept of the line. It follows that the slope of line is . The negative reciprocal of a number is divided by the number. Therefore, the negative reciprocal of is , or . Thus, the slope of line is . Note that 3/17, .1764, .1765, and 0.176 are examples of ways to enter a correct answer."
edc1b7b7,"The solution to the given system of equations is . What is the value of ?",,,,,3,"The correct answer is 3. Adding the second equation to the first equation in the given system of equations yields , or . Dividing both sides of this equation by yields . Substituting for in the first equation, , yields , or . Subtracting from both sides of this equation yields . Dividing both sides of this equation by yields . Substituting for and for in the expression yields , or . Therefore, the value of is 3."
f224df07,"A cargo helicopter delivers only 100-pound packages and 120-pound packages. For each delivery trip, the helicopter must carry at least 10 packages, and the total weight of the packages can be at most 1,100 pounds. What is the maximum number of 120-pound packages that the helicopter can carry per trip?",2,4,5,6,C,"Choice C is correct. Let a equal the number of 120-pound packages, and let b equal the number of 100-pound packages. It's given that the total weight of the packages can be at most 1,100 pounds: the inequality represents this situation. It's also given that the helicopter must carry at least 10 packages: the inequality represents this situation. Values of a and b that satisfy these two inequalities represent the allowable numbers of 120-pound packages and 100-pound packages the helicopter can transport. To maximize the number of 120-pound packages, a, in the helicopter, the number of 100-pound packages, b, in the helicopter needs to be minimized. Expressing b in terms of a in the second inequality yields , so the minimum value of b is equal to . Substituting for b in the first inequality results in . Using the distributive property to rewrite this inequality yields , or . Subtracting 1,000 from both sides of this inequality yields . Dividing both sides of this inequality by 20 results in . This means that the maximum number of 120-pound packages that the helicopter can carry per trip is 5."
fa80893a,"If , what is the value of ?",,,,,17,"The correct answer is 17. It's given that . Multiplying each side of this equation by yields , or . Subtracting from each side of this equation yields , or . Therefore, the value of is 17."
3b44439b,"In the figure, line is parallel to line , and line intersects both lines. What is the value of ?","Value A","Value B","Value C","Value D",D,"Choice D is correct. In the figure shown, the angle marked and the angle marked form a linear pair of angles. If two angles form a linear pair of angles, the sum of the measures of the angles is . Therefore, the value of is . Choice A is incorrect. This is less than , not the sum of and . Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect. This is the measure, in degrees, of one of the angles shown."
6585d841,"In the xy-plane, the graph of the given equation is a circle. What is the length of the circle's radius?","Length A","Length B","Length C","Length D",C,"Choice C is correct. It's given that in the xy-plane, the graph of the given equation is a circle. The equation of a circle in the xy-plane can be written in the form , where is the center of the circle and is the length of the circle's radius. Subtracting from both sides of the equation yields . By completing the square, this equation can be rewritten as . This equation can be rewritten as , or . Therefore, . Taking the square root of both sides of this equation yields and . Since is the length of the circle's radius, must be positive. Therefore, the length of the circle's radius is ."
82c8325f,"A circle in the xy-plane has its center at and the point lies on the circle. Which equation represents this circle?","Equation A","Equation B","Equation C","Equation D",D,"Choice D is correct. A circle in the xy-plane can be represented by an equation of the form , where is the center of the circle and is the length of a radius of the circle. It's given that the circle has its center at . Therefore, and . Substituting for and for in the equation yields , or . It's also given that the point lies on the circle. Substituting for and for in the equation yields , or , which is equivalent to , or . Substituting for in the equation yields . Thus, the equation represents the circle."
02b02213,"What is the perimeter, in inches, of a rectangle with a length of inches and a width of inches?","Perimeter A","Perimeter B","Perimeter C","Perimeter D",D,"Choice D is correct. The perimeter of a figure is equal to the sum of the measurements of the sides of the figure. It's given that the rectangle has a length of inches and a width of inches. Since a rectangle has sides, of which opposite sides are parallel and equal, it follows that the rectangle has two sides with a length of inches and two sides with a width of inches. Therefore, the perimeter of this rectangle is , or inches. Choice A is incorrect. This is the sum, in inches, of the length and the width of the rectangle. Choice B is incorrect. This is the sum, in inches, of the two lengths and the width of the rectangle. Choice C is incorrect. This is the sum, in inches, of the length and the two widths of the rectangle."
459dd6c5,"Triangles and are similar. Each side length of triangle is times the corresponding side length of triangle . The area of triangle is square inches. What is the area, in square inches, of triangle ?",,,,,135/8,"The correct answer is 135/8. It's given that triangles and are similar and each side length of triangle is times the corresponding side length of triangle . For two similar triangles, if each side length of the first triangle is times the corresponding side length of the second triangle, then the area of the first triangle is times the area of the second triangle. Therefore, the area of triangle is , or , times the area of triangle . It's given that the area of triangle is square inches. Let represent the area, in square inches, of triangle . It follows that is times , or . Dividing both sides of this equation by yields , which is equivalent to . Thus, the area, in square inches, of triangle is 135/8."